tweet,place
المكان جميل ونظيف والتنظيم رائع ومشددين على التباعد ولازم الدخول بتوكلنا مع اضافة افراد الاسرة والعاملة يعني يلزم وجود جميع التابعين معك في بطاقة الوضع الصحي في توكلنا ومن اجل الاحترازات ممنوع دخول الاكل والقهوة والشاهي وممنوع الافتراش فقط …,1
حديقة جميلة ومنظمة تنظيم جيد وكبيرة ويوجد فيها حيوانات كثيرة,1
"تجربة رائعه وجميله نظافة متناهية ومرتب اماكن الحيوانات تغيرت كثير عن قبل والاسعار الدخول والقطار ممتازة حتا تروك البقاله رخيص وفيه سينما zoo. ب١٦ مادخلتها كانت مسكره وايضا فيه مطعم وفيه تركات كثير …",1
"مكان جميل و انصح بزيارته

رسوم الدخول …",1
"الحديقة واااااسعه تغيرت علي من اخر زيارة لها

* مهتمين بالنظافه جداً …",1
"المكان جميل جدا ،لكنه يعيبه المطعم ريحته سيئة جدا لكثرة القلي في نفس الزيت غير انه اصنافه قليلة والبقالات كلها منتجات سيئة مشروبات ملونة وعالية بالسكر والحلويات كلها منتجات ملونة وغير مفيدة ،كل البقالات نفس الشي ، الكافي حلو اخذت منه كابوتشينو .كل من يريد الذهاب يجيب ان يأخذ معه اكله وشربه كامل لكي لايضطر للشراء من داخل الحديقة.",1
من الاماكن المميزة بمدينة الرياض ومقصد رئيسي مفضل للعائلات والاطفال،  الحديقة في تطور ملحوظ خلال السنوات الاخيرة،  بزيارتي الأخيرة للحديقة شفت تغيرات واضافات جديدة بالحديقة لم تنتهي بعد،  تم اضافة سينما للاطفال لم يتم تجربتها، لكن هناك بعض …,1
"قمت بزياره حديقه الحيوان العديد من المرات  ولاحظت التطور المستمر والجميل ، الحديقه جميله ومناسبه للرحلات العائله ولتعليم الاطفال ، تذكر الدخول تقريبا  (١١﷼) للكبار والصغار دون ١٢   (٥ ﷼)  ، يوجد بها : قطار يجول بالحديقه التذكره( ٤ ﷼ )ونصف …",1
الحديقة مره جميلة ونظيفة وتستاهل الزيارة اكثر من مرة مرتبة التنظيم جدا جميل الله يعطيهم العافية.. الكشكات حقت البيع متوفره باكثر من مكان وكل شي موجود تقريباً..,1
"حديقة الحيوانات في الرياض من أجمل الفعاليات التي يجب زيارتها …..تنظيم ونظافة وأناقة وترتيب شيء مميز بالفعل وإن كنت أفضل أن أزورها في الشتاء وذلك بسبب الحرارة …شكرا لكل القائمين على الحديقة بصماتكم واضحة في كل مكان …💐💐💐",1
مكان رائع جداَ ومرتب وفخم شكراَ لهم على هذا المجهود الجبار الله يوفقهم تنظيم ونظافه وترتيب والسعر رمزي جداَ,1
"بصراحة مكان كبيير وواسع
الخدمات متوفرة دوارت مياة ومصلى
ومطعم وكوفى وبقالة ومحل هدايا ومحل اللعاب للاطفال …",1
"حديقة نظيفة تطور ملحوظ بتنوع الحيوانات مسطحات خضراء ، الدخول للكبار ١٠ الاطفال ٥ الاطفال دون ٣ سنوات مجانا .
أهم شي تجربة القطار 👍🏼😌 …",1
"رائعة جدًا .. تنظيم مميز .. أسعار رمزية 👍🏻👍🏻 .. تجربة رائعة للأطفال وتستحق التجربة .. أنصح بزيارتها في الشتاء .. في الصيف تكون الأجواء ساخنة لاتطاق",1
"واحد من امتع الاماكن للزياره و ماشاءالله خدماتهم و التنظيم داخل الحديقة جدا ممتازه
الوقت بيعدي بسرعه داخل الحديقة مع التنوع الموجود للحيوانات و طبيعة توزيعها و …",1
"ماشاء الله حلوة قضيت وقت رائع وبمبلغ مناسب للجميع   بس  يبغالها. موقع آخر أقترح أن يكون  غرب الرياض   وادي طويق   وان تكون محمية  ومتطورة شي يليق بمكانه واسم المملكة العربية السعودية  ..مع تمنياتي لكم بتوفيق ...",1
"""🦩🦣🦢🦧
حديقة حيوانات الرياض الواقعة بحي الملز..
كانت تجربة أكثر من رائعة ، الحديقة جميلة ونظيفة ومرتبة ، يوجد حراس للحيوانات …",1
"ماشاء الله  تبارك الله إصلاحات جميلة وتطوير في الحديقة زرتها في ١١ يناير ٢٠٢١ بصراحة اندهشت من النظافة و الترتيب و إضافة بعض الحيوانات وطريقة عرضها مثل التايقر والنمر العربي و تعدد القطارات بصراحة تستحق الزيارة. بس تعال لها بدري تفتح من ٩ الصباح إلى ٥ مساء إذا أعجبتك المعلومات وأفادتك اضغط موافق تحت التعليق",1
روووعة ولكن ينقصها الاسد العملاق والقليل من الحيوانات الأخرى,1
"من اجمل المناطق التي يتوجب على المرء زيارتها في الرياض، مليئة بانواع كثيرة من الحيوانات من كافة مناطق العالم، وسيمر الوقت شريعا بدون ان تكمل تفقد كل الحيوانات، كما ان المكان نظيف جدا ولا توجد روائح مزعجة كما هي العادة في حدائق الحيوانات. …",1
الحديقة جميلة ورايقة، يعيبها قلة مواقف السيارات,1
"زرتها اليوم 22 يناير 2021
مره تغير فعلا، اخر زياره لها كانت قبل سنتين او 3 سنوات تقريبا الان تغيرت تطور ملحوظ وشغل مرتب ونظيف جدًا …",1
"اتمنى الاستفادة من تجربة موسم الرياض في حجز التذاكر
شباك التذاكر يوم الجمعة زحمة كبيييرة وهو السبب الرئيسي لتقليل نجوم التقييم …",1
"حديقة متنوعه ومتميزة و أسعار الدخول رمزيه تغلق الساعه السادسه تقريبا يمكن اخذ جولة بالقطار داخل الحديقة نتمنى مزيدا من التطوير و تلطيف الاجواء في الصيف",1
حديقة الحيوان في الملز، صغيرة ومنظمة. فيها مجموعة متنوعة من الحيوانات وبعضها نادر، لكنها تحتاج إلى زيادة الحيوانات، وتحتاج إلى فعاليات وعروض الحيوانات أيضا. أسعار التذاكر جيدة، ولعل أكبر عيوبها عدم توفر مواقف سيارات تكفي الزوار.,1
"مكان مميز ولكن تنقصه حيوانات وكذلك أسماء الحيوانات تحتاج إلى أن تكون واضحة فهي غير مفهومة",1
"الحمدالله صار عندنا حديقة حيوانات جميله و مرتبه و نظيفة
و المنظمين في كل مكان شكرا لكل من كان خلف نجاح هذه الحديقه 🌹 الحديقه كبيره و فيها انواع كثيرة جدا من الحيوانات و مجموعة مطاعم و مسموح تجيب معاك من برى اكل او …",1
انصح لي اخذ رحلة للاطفال في حديقة الحيوان فهي رحله ممتعه جدا,1
"الحديقه جميله جدا، طبعا فيه رسوم للدخول 10-5 ريال اتوقع والاطفال لما عمر سنتين مجاناً
الطاقم حارس داخل الحديقة اسلوب متميز وحرص على لبس الكمامات والتباعد يحاول …",1
"السلام عليكم ....2021
.🐫🦒🐻🦫🦘🐧🐦🦩🌎حديقه الحيوانات
بمدينه الرياض …",1
الحديقه مرره حلوه ومرتبه وكبيره والنظافه والترتيب شي ثاني واسعار التذاكر الكبير تقريبا بـ11 والصغير بـ6 اذا انتم جايين الرياض لازم تدخلونها ماتتفوت و إذا في الشتا أكييد شوفوها والحلو داخل في قطار مادري باص وكُشكات اكل، واماكن الحيوانات مرتبه ومرره، والخضار فيها حلو  وحلو كيف انهم مهتمين بأدق التفاصيل.,1
"جميله هالحديقة ومطورين فيها كثير اشياء أضافوا الفهد الاسود وكذا نوع من الحيوانات
الدخول للكبار ب ١١اتوقع …",1
حديقة جميلة وممتعة للكبار وللأطفال يحتاج لها بعض التغييرات التي تصب في مصلحة تطويرها وجعلها افضل بعض مايمكن عمله:الاهتمام بوضع المعلومات الكافيه عن الحيوانات بشكل واضح .. استمتعنا بجانب حيوانات الجاغوار وذلك لوجود حارس مرشد يحاول ملاعبتها …,1
"مكان جميل وممتع وخاصة للصغار .. مستوى النظافة جيد لكن ارضية النافوره والحيوانات اللي عندها مويه تحتاج نظافة اكثر .. منتشره السوبر ماركت في كل الحديقة وفيه جهة مطاعم .. وطبعًا اكرر الزيارة ان شاء الله",1
"الحديقة جميلة ومرتبة
والدخول بسعر رمزي",1
"جميله وكبيره واعتقد اغلب الحيوانات موجوده فيها
مناسبة للأسر والأطفال",1
"الحديقة جميلة جداً وكبيرة اسعارها مناسبة روحوا لها اذا برد الجو  فيها كوشكات تبيع مويه ومفرحات فيها منظار طبيعيه وانواع كثيرة من الحيوانات والطيور بس للاسف علشان كورونا ما تقدرون تجلسون في المسطحات الخضراء",1
"السلام عليكم ورحمة الله وبركاته.

حديقة الحيوان منطقة الرياض. …",1
"اليوم كان زيارة  ( حديقة الحيوانات ) للامانه ماشاءالله اتغيرت مرررره واتنظمت وصارت أنظف وأرتب والمشرفين بالحديقه ماقصروا يعطيهم العافيه انصح اي احد بالرياض وعنده اطفال يروحلها بينبسطون مره 👌🏻 …",1
"الحديقة تطورت كثيراً عن السابق، 👌😍
النظافة ممتازة جداً، العاملين في الحديقه بكل مكان الأمن ، يوجهون وتستفسر عن مكان يقدمون لك المعلومات الكافية . وأيضاً من حيث تجمع عند حيوان معين ينبهون الناس …",1
"ماشاء الله تبارك الله تغيرت الحديقه لي كم سنه ماجيتها من ايام الطفوله من ايام الفيل اللي اسمه راني بس صراحه ضبطوها",1
"حديقة جميلة ومرتبة
النظافة والتنظيم في المسارات ممتاز
عندهم حيوانات نادرة زي الجمل أبو سنامين وغيره …",1
"الحديقه حلوه و نظيفهه (بس ممنوع الجلوس و ممنوع تدخلون معاك شي).
يوجد بداخل بقاله و مطعم وكذا.
الدخول ب رسوم رمزيه",1
"حديقة الحيوان ..
من أجمل الاماكن في مدينة الرياض التي يجب على كل من يقيم في هذه المدينة الجميلة زيارتها .. …",1
"تطورت كثير وصارت اجمل ترتيب ونظافه وتعديلات ملحوظه
صراحه معلم سياحي يستحق الزياره
استحدثت الممرات بشكل مرتب ومنظم …",1
رحنا لها 5 يناير 2021 عشان النقطتين اللي بالصوره بس شكلنا استمتعنا اكثر منهم ، تغييرت مره عن اول صارت احلى وتنظيم افضل والدخول بـ 10 للكبار والصغار بـ 5 بس زعلوني انهم ما خلونا ندخل عند الدب حاطين حاجز قبل الزجاج اللي هو عنده نشوفه من بعيد …,1
"مكان جداً جميل ومتنفس للأطفال ..
ومن المعالم السياحية ، لكن جميل لو كانوا الموظفين اكثر تفاعل ، ويشرحون عن مسمى كُل حيوان وماذا يُحب ووو .. تكون الفائدة والمتعة اكثر …",1
"تحفة تحفة بجد جدا...نظيفة لأبعد الحدود ومنظمة حدا وطريقة العرض ممتازة سواء بيئة العرض للحيوانات او الطيور والمشرفين متواجدين طوال الوقت. ولكن تحتاج لاضافة قسم الزواحف مثل التماسيح والثعابين .",1
"مؤسف ودون المستوى بكثيييييييير
المتوقع يكون فيه ملطفات هواء طوال مستويات السير ولكن الكل يلهث من شدة الحر
المتوقع وجود اشجار عالية للتبريد على الحيوانات والزوار ولكن الواقع وجود عدد ضئيل …",1
جميله ومناسبة للكل ولكن الجو حار لايوجد أماكن للجلوس ولامضلات ولا مراوح يحتاج المكان الى اهتمام قوي للسياحه فيه فيه فيله مناسبة غزلان قرده زرافه وغيرها,1
"مكان جميل ومرتب انصح بزيارة خص للعوائل والاطفال به تنوع جميل من الحيوانات وسعر الدخول مقبول الكبار 11 مع الظريبة
والصغار 6 مع الظريبه …",1
بصراااااااااحه جميلة ومممتعه خذوا عيالكم وفلووووووهاااااا,1
"الحديقة جميلة و نظيفة جداً واغلب الحيوانات موجودة وواضحة .. بداية اليوم كان الجو بارد والشمس خفيفة بعدين احتجنا شمسية لأن الشمس قوية مع الهواء البارد .. كل شي متوفر في الكشكات والكافيه باسعار جداً بسيطة .. بعض الحيوانات تدخل وما تكون واضحة يمكن تحتاج اكثر من لفة على الحديقة.",1
رحت الصباح وسط الاسبوع..  المكان جميل ونظيف الممرات حلوة مزينة بالورد في أماكن  مناسبة للجلوس اللي حاب يجيب معاه فرشة... كل الشكر  للقائمين على  التطوير والاهتمام 💛 …,1
"مكان جميل جداً و من الاماكن السياحية في الرياض
و اتوقع انها حديقة الحيوان الوحيدة في السعودية …",1
"كانت تجربة ممتازة جدا  عجبتني الحيوانات، بس ماحبيت انها قليلة وايضا بالنسبة للفيلة حسيت انها كبيرة في العمر جدا وايضا قليلة ""فيلين فقط"" ومااحس انو حجمها حجم الفيل الافريقي.  يمكن بسبب كبر عمرها، وبالنسبة للسلاحف احس افضل لو تجيبون احجام …",1
"ماشاء الله تبارك الله جميل ومرتب حق تغيير الجو والروتين
مناسب للجميع واتمنى منكم الزياره التجربه والتمتع بالمناظر  . .
واتمنى التنويع والتجديد لأماكن  التسوق والمطعم …",1
"حديقة جميلة ومن تطور لتطور مساحتها كبيرة ويوجد تنظيم ومشرفين ويوجد بالداخل كشكات لبيع الهدايا والالعاب والمأكولات الخفيفة والايس كريم والحلويات ويوجد قطار بداخلها برسوم للتنقل في الحديقة و توجد حمامات رجال ونساء نظيفة على مدار الساعة وتوجد …",1
"جميلة و متنوعة والعاملين والعاملات
لطيفين..بها مسار وكذلك خارطة بالحيوانات.
الصباح لايوجد زحام... …",1
"حديقة جميلة تخرج بك عن صخب المدينة. دخلتها الظهر وكانت الأجواء لطيفة والزحمة خفيفة.
الحديقة تعرض الحيوانات في بيئات مشابهة للموطنها   بعيدا عن منطقة المشاهدة مما …",1
جميله و يفضل الزيارة بالاوقات اللتي يكون الجو معتدل الى بارد ( الصيف لاينفع اطلاقاً),1
مناسبه للعوائل وتذاكر الدخول الكبار/11.5 ﷼ يوجد جميع الخدمات من الداخل كافيهات ومطاعم .. تجربه رائعه ✅,1
تستاهل الزياره خاصه مع وضع زياده الاحترازات.  الأمن في كل مكان ومافي زي اول افتراش في الأرض وزحمه مثل اول.  حبيتها الصراحه الناس كلها حريصه وبكماماتها,1
"ممتازة في الشتاء تحتاج لتطوير كبير في المرافق والخدمات والمطاعم والعناية بالتشجير",1
"جدا جدا جميله طبعا حديقة الطفوله
كانت زيارتي لها مع الابناء
جدا جدا فرحوا بالزياره …",1
"تمتد حديقة الحيوانات على مساحة إجمالية تبلغ 161.000 متر ، أُفتتحت سنة 1987 وقد تم تطويرها وتحديثها حيث تضم أكثر من 1500حيوان وتُقدم رحلات قطار للتنقل والتنزّه في ارجاء الحديقه ويوجد في الحديقة سينما اطفال سعر التذكره 16﷼ ومطعم ومحلات لبيع …",1
راااائعه والاطفال استمتعوا فيها جداً,1
تطور ملحوظ ورائع ، حبيت التغيير في الحيوانات ، يعني صارت ماتنام وتتفاعل مع الزوار . وزاد عددها اكثر عن الاول . واغلب الحيوانات قللو المسافه بينها وبين الزوار يعني صرنا نشوفها من قريب ونتأملها صح ! شعور ممتع سبحان الله الخالق المبدع,1
"الحديقه حلوه ومرتبه ومناسبه للصغار والكبار والدخول بسعر رمزي ومناسب ولكن في الصيف غير مناسب زيارتها يفضل في اجواء الشتاء والربيع",1
"حديقه الحيوان جميله جداً فيها الحيوانات كلها والحديقه مرتبه ونظيفه وجميله وفيها بوفيه والدخول برسوم ١١،٥٠ احدى عشر وخمسون هلله …",1
كانت زيارة جميلة المكان منظم و نظيف 😻👍🏼👍🏼,1
"ماشاءالله جداً حلوه يحبها الكبير والصغير وخصوصاً في هالأجواء الشتويه روعه لكن بتكون اروع هم حالياً جالسين يعملو تعديلات عليها بإضافة انواع عديده للحيوانات وتعديلات في التصاميم والبناء قالو بعد تقريباً ٦ شهور تنتهي ..",1
تجربه جميلة ومجهود ملحوظ واهتمام رائع انبهرت انا وصغاري بجمال المكان والتنظيم  اقترح يكون قص التذاكر اون لاين لان الزحمة اللي تصير عند شباك التذاكر فضيعه مع عدم تطبيق التباعد و بالتوفيق لكم,1
"مكان جميل ومرتب ولا يمنع تزورة بتكرار ✅
وشكرا لكل من ساهم في التنظيم ❤️
يتوفر بيع المأكولات والمشروبات ويسمح بدخولها ايضآ 🍔🥤 …",1
"تجربه ممتعه
الكبار ١١ ريال رسوم الدخول
الصغار ٥ ريال
يليت يطورونها اكثر",1
"جمييييله جداً جيت لها عشان الفلامنجو قد ايش لطيف شكله وتجنن 🤩
تجربه رائعه وتستحق الزياره فعلاً",2
تجربة رائعة ورحلة عائلية حلوة,2
انصحكم والله بزيارته مكان جميل جدا مرتب ونظيف,2
مكان جميل للتنزه العائلي ويوجد مواقف للسيارات .مطاعم وكوفيات ومصلى.وجميع انواع الحيوانات,2
"جميله جدا جدا . بوقت الشتاء رائعه في العصريه
اجواءها هذه الايام ممتعه زرتها انا وعائلتي
الخدمات ممتازه …",2
"جميلة جدا وافضل وقت في الشتاء لان جمالها يكمن في النهار بصراحة حلوة وممتعة وخصوصا الاطفال",2
"يامساء الخيرات 😍🌿
الرياض |:حديقة الحيوان بالملز📍
جولة في حديقة الحيوانات 🦁الأسد يسلم عليكم ومتشره عليكم  على هالقطاعه  مالكم حق …",2
المكان جميل بصراحه لكن الازدحام شديد ويوجد مرافق لم تتطور مثل القطار الدخول والنزول منه غير مرتب ع الاطلاق والافضل انه يكون حجز اون لاين وعدد محدد وبعدها يقفل الحجز عدد يستوعب المكان وكل الزوار ياخذون حقهم من الدخول والجلوس والاستمتاع بالتجربه هذا من رأيي🌸,2
"المكان جميل..
دورات مياة كثيرة ونظيفة..
فيه مطعم وكوفي شوب وكشكات.. …",2
جميلة الحديقة ومتطورة كثير أفضل من أول واهتمام كبير بالنظافة ولكن تحتاج مطاعم أفضل وكوفيات ممتازة ومعروفة.. أتمنى تسمحون للمطاعم والكوفيات المعروفة للاستثمار داخل الحديقة لتصبح مكان جذاب للسياح ..,2
حلوه حيوانات متنوعه بعضها مجموعين بنفس القفص ولاكن كان ممكن يطورها و يخلوها افضل بكثير زحمه عند التذاكر وشباكين بس  مرفق في الصور مواعيد الافتتاح و الاسعار غير واضحه …,2
"مكان جميل للعائلات التنظيم ممتاز والإجراءات الاحترازية ممتازه بس كنت أتمنى تعاون العائلات في الايام هذه ربنا يحفظنا من كل شر ولازم شعارنا يكونا نتعاون مانتهاون وشكرا للجميع😍",2
جميلة جدا لكن نصيحة اذا نويت تروح لها جيب معك مظلة حماية من أشعة الشمس ☂️🌂 وتكمل المتعة .,2
الحديقه جميله جدًا و مممتتععهه ماتنمل، للعوائل و تصلح للاطفال، مرتبه و نظيفه و سعرها ممتاز🥺💓💓، و تقدرون تجيبون قهوتكم و حلاكم و تجلسون فيها،فيه بقالات، بس ممنوع توكلون الحيوانات ف انتبهو💓,2
"الحديقة رائعه  الممرات بعد التغير جميله جدا 🎤النظافه مستمره ورائعه 🎤 اهتمام رائع بذوي الاحتياجات الخاصه من البداية 🎤 وترتيب في كل شي بارك الله فيهم جميعا🌺
الملاحظات التالي 🟢 منع التدخين تماما لكثرة الاطفال والحزم والغرامة على ذلك …",2
رائع المكان نظيف ومرتب لي يبي يشوف الطبيعة والحيوانات والشمس,2
"الحقيقة اسعار الدخول شبه بلاش ونظافه واهتمام وتونع للحيوانات واسعار الكشكات معقولة ورخيصه .. وللاسف حديقة الحيوانات مافيه لها اعلانات .. تذكرة الدخول الكبار 11 ريال والصغار 6 ريال تقريبا .. ولا فيه أي مانع تدخل معك ماء اكل عصيرات ببسي فرشات …",2
"حديقة نظيفة وجميلة، اهتمام واضح بالحيوانات والغطاء النباتي... بامكانك ادخال بعض الاطعمة الخفيفة، يوجد جلسات وكافيتريا داخل الحديقة... تواجد ملحوظ للسيكيورتي في الحديقة وشعور بالامان... بامكان الاطفال التجول بطمئنينة... الزيارة داخل الاسبوع …",2
"تفتح يوميا من ٨:٣٠ الصباح الى ٥ العصر، ماعدا يوم الاحد مغلقة للصيانة والجمعة تفتح ١ الظهر
جميع الايام للعوائل والافراد متاحة. …",2
"مكان ممتع للعائلة خصوصا للاطفال
اسعار  التذاكر:
الاطفال دون ال3سنوات مجاني …",2
"حديقة جميلة

الترتيب ممتاز …",2
"اجواء رائعه جداً مع العائلة",2
"جميلة وكبيرة وتحتاج واحد عنده لياقه يمشي فيها
المكان نظيف ومرتب فيه تنظيم ومتابعه للاجراءات الوقائية
فرصة جميلة زيارتنا للرياض وللحديقة",2
"رائعة ورهيبه فيه تنوع بالحيوانات وسعر التذكرة للشخص ١١.٥٠﷼",2
مازالت كما هي منذ زرتها أيام الطفولة لم تتطور إلا القليل نتمنى إضافة مرشدين بكثرة يرشدونا باماكن الحيوانات مع الشرح المطول لحياة الحيوان وطبيعته وكيفية عيشه ...إلخ حيث إننا نتعب للحصول على حيوان معين، حديقة الحيوان تفتقر لحاجات وتطوير كثير. عندي كلام كثير بخصوص هذا الموضوع ولكن اعتقد وصلت فكرتي للجميع.,2
"تجربه ممتعه انصح بزيارته للاسف مزدحم جدا عند المواقف السيارات و حجز التذاكر لكن الموظفين رائعين وخدمتهم سريعه يوجد محلات كوفي وجبات سريعه ألعاب وهدايا مكان لسينما ومصلى للرجال والنساء مكان حجز لتذاكر القطار",2
حديقة مرتبة . النظافة موجوده . اغلب الحيوانات موجوده ما عدا الزواحف كان مقفل وقت زيارتي …,2
"الحديقة مرتبة نظيفة مهتمين بها لتكون وجهة سياحية مهمة في العاصمة السعودية

حيوانات متنوعة ينصح بزيارتها و التأكد من جدول الزيارة لوجود ايام مخصصة للرجال او …",2
مكان جيد ومرح ومتنزه كبير فيه بعض الكشكات للمأكولات السريعة بالاضافة الى حديقة الحيوان جيد للعائلات,2
نظيفة جداً ولا توجد أي روائح غير جيدة، صباحاً الوقت جيد للزيارة فبعد الظهر يزدحم المكان، يفضل إحضار وجبات خفيفة و سجادة صغيرة للجلوس، المكان بشكل عام لطيف...,2
"حديقة مرتبة ونظيفة، تستحق الزيازة.
الإيجابيات :
- حاويات النفايات منتشرة في كل مكان. …",2
"زيارة حديقة الحيوانات جميلة
لكن عند زيارتي لها اليوم من الصباح لم استطيع مشاهدة جميع الحيوانات بسبب حرارة الطقس ولم يتم أبلاغنا عند الدخول من قبل إدارة الحديقة حتى أنه يوجد شخص اسمه …",2
"ممتعه .. و بعد التجديد صايره رهيبه .. ناقصها مطاعم وجبات سريعة فقط
و ياليت يتم تحديد عدد معين من الزوار .. صراحة اليوم نبي القطار و مره زحمه ماقدرنا نركب",2
"حيوانات قليلة جدا ولا يوجد إهتمام مكثف

نظافة ممتازة جدا 🌹",2
"رااائعه جداً وممتعه و نظيففه اشكر المسؤولين علئ الاعتناء فيهااا 💛💛💛💛",2
"تم زيارة حديقة الحيوان في حي الملك عبدالله تم ترميمها وترتيبها بعض الشيء واضافة بعض المرافق الاضافية
تم شراء تذاكر الدخول وسعر التذكرة ١٢ ريال لمن فوق ٣ سنين ومادون مجانا …",2
الحديقة جميلة جدا . وتحتاج لاهتمام وتطوير  سياحي اكبر .,2
"بصراحة لم أدخل الحديقة لكن ما أراه من تنظيم عند المدخل و إهتمام من العاملين بقص الذاكر و الأمن الخارجي فهو جيد و من داخل الحديقة أحد الزملاء بالعمل يقول احضرت اهلي و اطفالي ودخلنا لكن لم نستمتع بسبب انك تمشي وتشاهد الموجود في الحديقة ولا …",2
جميله لجميع الاعمار وتنظيم جيد ولكن المطاعم ليست جيده وتحتاج لتطوير,2
مكان رائع للعائلة وفيه حيوانات مميزه .. يوم رائع بجميع المقاييس,2
