polarity,word
2,ماقصرو
2,جنان
2,روعة
2,محترفين
2,فنان
2,فنانة
2,جذري
2,المتوسط
2,لزيز
2,مدح
2,مبدع
2,ذوق
2,محظوظة
2,كريم
2,مفيدة
2,مؤثر
2,مؤثرة
2,واقعي
2,واقعية
2,جامدة
2,يجنن
2,يسلام
2,يمدحون
2,يمدحونة
2,استفدت
2,ثقه
2,اصلي
2,مصلي
2,موفقه
2,فكرة
2,عجبني 
2,إجازة
2,احبهم
2,تشرح
2,ممتعة
2,نورا
2,باللباقة
2,تبرز
2,الثمينه
2,يفيدك
2,اعجز
2,قيمة
2,الطف
2,المستوى
2,فأنصح 
2,الجمال
2,الاعصاب
2,يهدي  
2,مجهز
2,موفقة
2,مميزة
2,مستوي
2,طعيم 
2,ماقصروا
2,الشكر
2,اخلاق
2,يازين
2,سريع
2,راق
2,فاخر
2,استقلالية
2,تصلح
2,مجدد
2,شراحة
2,شيق
2,انصحكم 
2,مشوق
2,مشوقة
2,جديدة
2,"ذكاء"
2,تروحون
2,زاد متعتنا
2,تستمتع
2,عقبال 
2,الرائع
2,سعدت
2,لا يفوت
2,خدوم
2,يفوز
2,اهنيكم
2,شكرا
2,وشكر
2,تستاهلون
2,متفوق
2,امتعني
2,فرح
2,صداره
2,شرفتونا
2,افتخر
2,راضين
2,مبروك
2,صدق
2,ملائم
2,افضله
2,امدح
2,جرب
2,جربوه
2,زين
2,توب
2,لايقاوم
2,مشهور
2,مغريه
2,يفوق
2,تأخذ 
2,مثله
2,العقل
2,اندهشت
2,اضافه
2,اضافوا
2,ارتب
2,ضبطوها
2,تطورت
2,مزاج
2,الفائدة
2,فله
2,فلوها
2,استمتعوا
2,التغير
2,يحفظنا
2,يحفظنا
2,ماتنمل
2,فاقت 
2,راحتك
2,مليئ
2,الراحه 
2,عام
2,ربنا
2,سعيد
2,سعيده
2,النفسية
2,تطور
2,رحابه  
2,تحسينه
2,بنبسط
2,غايه
2,توقعاتي
2,حرص
2,عنايه
2,سبحان
2,ولا يمنع
2,نكررها
2,معقولة
2,تحسنت
2,نظيفة
2,منظمه
2,نجمات
2,عجبتنا
2,انبسطنا
2,رمزية
2,جيد
2,نزهة
2,يخرفن
2,تخرفنت
2,فاخره 
2,فاخر
2,اعجابكم
2,فخمه
2,تشكر
2,عجبني
2,مبتكر
2,تصميم  
2,رايع
2,لا تمل
2,شامخ
2,راحه 
2,تركيز
2,شرح
2,"هاديء"
2,حيل
2,ابداع
2,حلم
2,تبعث
2,تشويق
2,منخفض
2,حماسيه
2,تطوع
2,استثمر
2,استثمار
2,مبتسم
2,تشوق
2,"عظماء"
2,اندماج
2,ترسيخ
2,تنعكس
2,مترابط
2,هالابداع
2,هالاهتمام
2,استانس
2,وانجح
2,انجح
2,يالطيف
2,يتامل
2,يتعاون
2,لتمشيه
2,مختصر
2,عمق
2,وسيع
2,يعجز
2,عجيبه
2,مبسوطه
2,تفوز
2,لا تترددون
2,عاديه 
2,وناسه
2,يونس
2,تونس
2,بجداره
2,سمحه 
2,لذيذ
2,متناول
2,مبدعين
2,لذه
2,ادق 
2,اعجبت
2,محترف
2,كلاس
2,متوسط
2,تتنفس
2,يشكر
2,يفتخر به
2,كلاس
2,متوسط
2,تتنفس
2,يشكر
2,يفتخر 
2,منبرة
2,منبهره
2,منبهر
2,اعتز
2,ماينطفش 
2,نمبر
2,احبه
2,المفضل
2,مفضل
2,ولا راح 
2,وابهرها
2,"لطفاء"
2,فرحت
2,الإنجاز
2,مابعده 
2,مبهره
2,اتخيل 
2,الدرجه 
2,مخدوم
2,استفاده
2,صعب 
2,بصريه
2,وصفه 
2,ينال 
2,مدهشه
2,معلومات 
2,المعاني
2,منظر 
2,خياليه
2,مهدئ 
2,الاطلاله
2,دقيقة
2,الزينه
2,معزوله
2,صاخبه
2,مايندم
2,تجبرك 
2,مااجملك
2,مايشدني
2,روعته
2,يستحق
2,بارك 
2,"مكان هاديء"
2,ما يملل
2,سريعه
2,جاذبه
2,بديعة
2,بديعه
2,بديع
2,سلسة
2,سلسه
2,سلس 
2,النظافه
2,النظافة
2,نظافه
2,مقبولة
2,أناقة
2,وصارت 
2,ميزة
2,يمدح
2,للامانة
2,استانست 
2,لايمل 
2,تغيرات
2,وغني
2,لضمان
2,سهلة
2,بالنظافة
2,الذوق 
2,تجربتها
2,مثير
2,بطله
2,بطلة
2,تنسيق
2,اللطافه
2,اللطافة
2,طوروها
2,سأكرر
2,زهيدة
2,شاسع
2,خصوصا
2,مخصصه
2,خاصه
2,خاصة
2,يدخلك
2,شرحهم
2,الأفضل
2,اكرمتنا
2,ابدعتوا
2,الفريده
2,امانه
2,امانة
2,الطيبين
2,الزكيه
2,حنين
2,اشجع
2,يعيد
2,الأبدي
2,عشقي
2,بساطتها
2,واهم
2,لاينسى
2,ما تعنيه
2,لا ينتهي
2,خلابه
2,الامتنان
2,جاذبة
1,أحببت
1,حسن
1,هرجعلها
1,احببته
1,مرتب
1,مرتبة
1,متعاون
1,متعاونين
1,مسموح
1,مقبوله
1,جميل
1,يزورها
1,جميله
1,عادي
1,موجود
1,نظافة
1,نظيف
1,نظيفه
1,التفاصيل
1,استمتع
1,ممتع
1,يبيلها
1,ياحلو
1,حلو
1,تعامل
1,جيد
1,تعامل
1,طيب
1,استانسنا
1,التطوير 
1,تبهج
1,رفيعه
1,مناسبه
1,متواضعه
1,طاقه
1,ماقصرت
1,افضل
1,نشكر
1,إيجابية
1,واسعه
1,مهيئه 
1,يليق
1,رهيب
1,رهيبه
1,بشدة
1,تزورونة
1,نجوم
1,الطبيعه
1,بساطه
1,يساعد
1,خصوصا
1,قوي
1,اول
1,الصدر
1,تندم
1,بسيط
1,مستوحي
1,عبق
1,عموما
1,وتحمس
1,كويس
1,تاكيد
1,شكله
1,ينفع
1,جيدجدا
1,قصر
1,رقي
1,مجاني
1,مكان
1,تمشيه
1,مسلي
1,ومسلي
1,طاقم
1,لايستغرق
1,ماشدني
1,النادره
1,متحف
1,الاماكن
1,عتيق
1,منظم
1,متطور
1,لا تنسي
1,انتباهي
1,منوعه
1,لا مثيل
1,ملموم
1,جوده
1,اروع
1,أروع
1,تتعنا لها
1,مرتبة
1,التنظيم
1,مناسب
1,المدح
1,تحياتي
1,تمام
1,النفس
1,فعلا
1,لطيفين
1,مجانية
1,مشكور
1,كيوت
1,قوية
1,كول
1,محترم
1,ابيض
1,كويسه
1,صحي
1,طيبة
1,طموح
1,ياسلام
1,عالي
1,خفيف
1,هقويتي
1,تضحك
1,كثير
1,اذهلني
1,فنون
1,ازدت
1,يوسع 
1,لايك
1,مدارك
1,وضع
1,نادر
1,أتمنى
1,معرض
1,ارجع
1,ثري
1,مليان
1,مجاني
1,مجانيه
1,مالفت
1,فاق
1,تصوري
1,مثري
1,تنظيم 
1,قمة 
1,ماعلية
1,لا تتردد
1,معقوله
1,والتقدير
1,يزيد
1,مريحه
1,مريحة
1,اهم
1,نظيف
1,مرونه
1,مفتوحة
1,يجب
1,زيارتها
1,جددت
1,تزوزوة
1,اثرية
1,مهذب
1,تاريخي
1,مافي 
1,التعليم
1,الترفيه
1,فاهم
1,فرحه
1,حظ
1,سنظل
1,فن
1,وفق
1,فاز
1,اسهل
1,قريب
1,حكاية
1,متخصص
1,مدربين
1,وفير
1,وفيره
1,فاتح
1,بسيطه
1,بدري
1,العافيه
1,اتغيرت
1,انظف
1,يعطيهم
1,يقدمون 
1,ملحوظ
1,رمزي
1,ترتيب
1,تزوره
1,درجة
1,بشكل
1,خلوقين
1,عاليه
1,صدر
1,حضاري
1,منتزه
1,متكامله
1,صدورهم
1,لاباس
1,مقبوله
1,رحابة
1,متكاملة
1,حريصة
1,كمامه
1,بكماماتها
1,حريصه
1,شعور 
1,حديقه
1,يحبها
1,عصريه
1,سياحيه
1,العائله
1,للأطفال
1,الأطفال
1,مناظرها 
1,تغير
1,سوف
1,النواحي
1,مرات
1,محلو
1,سهلة
1,سهل
1,سهله
1,جيده
1,الخالق
1,تطور
1,طبيعه
1,تمتع
1,الهدى
1,والتقوي
1,الصلاح
1,رحمه 
1,الملك
1,تاريخ
1,سياحي
1,تغير
1,يفتح
1,عصري
1,طرب
1,يضاهي
1,طبيعة
1,فاخرة
1,منوع
1,نشاطات
1,نشاط
1,"قضاء"
1,اصاله
1,تحف
1,ينصح
1,خيال
1,مقبول
1,خلابه
1,مشرف
1,مدروس
1,العريق
1,مسجد
1,براد
1,طبيعته
1,نظافته
1,ترميم
1,الكلمه
1,بحيره
1,اخلاق
1,جزيل 
1,يستقبل 
1,تجذب
1,ترفيهيه
1,مطور
1,نباها
1,عميق
1,تحمس
1,عيشونا
1,تنطلق
1,جبل
1,يبعث
1,تفهم
1,شغف
1,شغوف
1,يلوق
1,تكتشف
1,مرهف
1,انتعاش
1,تستانس
1,تفتخر
1,عادي
1,محظوظ
1,انغماس
1,غريب
1,متفاوت
1,مبسوط
1,انبهر
1,"انتماء"
1,للنفس
1,عريق
1,جيدة
1,تراثي
1,تجديد
1,السان
1,يسعدها
1,مسليه
1,حماسي
1,التحدي
1,اشجع
1,ايزي
1,تفكير
1,امنه
1,امن
1,والله
1,الله
1,تنفع
1,مرح
1,زينه
1,بالاريحيه
1,اريحيه
1,خصوصيه
1,بالتراث
1,كبدايه
1,خاصه
1,سوق
1,اسرع
1,عملي
1,مترتب
1,ضخم
1,سويته
1,التأمل
1,حريه
1,ولا خساره
1,ثريه
1,الخدمات 
1,استثنائيه
1,الله يوفقهم
1,ذكريات
1,طيبه
1,زاد
1,التأمل
1,حريه
1,ولا خساره
1,ثريه
1,تتكرر
1,استثنائيه
1,يوفقهم
1,ذكريات
1,طيبه
1,ماتخيلته
1,موفقين
1,قيم
1,ينغمس
1,الف
1,القلب
1,اشكره
1,ثقافي
1,معني 
1,المتطوعين
1,موسيقي
1,هادفه
1,ابعد 
1,فنيه
1,معماريه
1,اثرائيه
1,الا تلقي
1,تلاقي
1,الطفل
1,مفخره
1,متسارعه
1,متعه
1,يونسكم
1,اشكرك
1,تعالوا
1,مارايت
1,لا يصدق
1,جدير
1,جديره
1,نفسيه
1,تندمون
1,كنز
1,الأولى
1,الاولي
1,حدود
1,"بالدفء"
1,تفاصيل
1,زخم
1,تتسع
1,مشبع
1,ثقافه
1,تراث
1,يعني
1,قضيت 
1,بالغ
1,ساحره
1,مزيج
1,ساهم
1,اه منك
1,ملموس
1,متمكن
1,رومنسي
1,ولذه 
1,بطاله
1,الوجدان
1,وماتحسفنا
1,شاعري
1,مشيق
1,شامل
1,جهودكم
1,الرحمن
1,احببت
1,اكيد
1,بمتياز 
1,علميه
1,يتعلمون
1,العاب
1,مهيئ
1,مهيئة
1,مستمر
1,حديقة
1,واسعة
1,مسموح
1,مليئة
1,مليئه
1,صغيرة
1,منظمة
1,استحدثت
1,بسيطة
1,يغير
1,يومك
1,برضو
1,مبتسمه
1,الاستقبال
1,للاعصاب
1,مبسوطة
1,المتعه
1,وتكمل 
1,غيرت
1,منجز
1,نضيف
1,التباعد
1,لجميع
1,مدلعينها
1,أشكر 
1,الادب
1,معرفة
1,معرفه
1,ابهر
1,منفسا
1,بإمتياز
1,هالمره
1,الحزم
1,تجديده
1,تجديدة
1,تضل
1,بصفه
1,عامه
1,تجيب
1,يخدم
1,حرجع
1,متناهية
1,متناهيه
1,وأرتب
1,واتنظمت
1,راقى
1,عشنا
1,الاعتزاز
1,فن
1,افخم
1,تثقيف
1,عشق
1,غرام
1,الذوق 
1,ستخنقه
1,العبرة
1,مفعمه
1,الفرحة
1,تحبه
1,مانوينا
1,ماحسينا
1,يفقدك
1,تحف
1,تخق
1,وصنع
1,عايدي
2,اصلاحات
1,كرم
2,تحسينات
2,منسق
2,تحللها
2,خلاب
3,بيتهم
2,ويسر
2,منظمه
2,استكنان
1,فخوره
2,اذهلني
1,مسليه
2,تسهيل
1,موهب
1,مرهف
1,شغفوف
2,متعوب
3,مهيئه
2,مُنبهرة
2,"إثراء"
2,روعةِ
